FBgn,label,split
FBgn0034087,unknown,unlabelled
FBgn0031996,unknown,unlabelled
FBgn0028343,unknown,unlabelled
FBgn0033914,unknown,unlabelled
FBgn0031993,unknown,unlabelled
FBgn0037756,unknown,unlabelled
FBgn0001220,unknown,unlabelled
FBgn0011592,PM,test
FBgn0035771,unknown,unlabelled
FBgn0011640,unknown,unlabelled
FBgn0035762,unknown,unlabelled
FBgn0035753,Ribosome 60S,train
FBgn0033317,unknown,unlabelled
FBgn0013726,unknown,unlabelled
FBgn0020279,unknown,unlabelled
FBgn0033235,unknown,unlabelled
FBgn0010609,unknown,unlabelled
FBgn0033309,unknown,unlabelled
FBgn0017565,unknown,unlabelled
FBgn0016078,PM,test
FBgn0033717,unknown,unlabelled
FBgn0033699,unknown,unlabelled
FBgn0038145,unknown,unlabelled
FBgn0033688,Nucleus,train
FBgn0015834,unknown,unlabelled
FBgn0001092,unknown,unlabelled
FBgn0010411,Ribosome 40S,train
FBgn0028967,unknown,unlabelled
FBgn0004839,PM,train
FBgn0015019,unknown,unlabelled
FBgn0033663,ER,train
FBgn0010516,unknown,unlabelled
FBgn0034176,unknown,unlabelled
FBgn0000319,unknown,unlabelled
FBgn0014868,ER,train
FBgn0033631,unknown,unlabelled
FBgn0021795,ER,test
FBgn0001128,unknown,unlabelled
FBgn0030703,unknown,unlabelled
FBgn0001942,unknown,unlabelled
FBgn0030805,unknown,unlabelled
FBgn0030616,unknown,unlabelled
FBgn0022023,unknown,unlabelled
FBgn0045073,unknown,unlabelled
FBgn0035195,unknown,unlabelled
FBgn0030791,unknown,unlabelled
FBgn0031879,unknown,unlabelled
FBgn0025682,unknown,unlabelled
FBgn0028419,unknown,unlabelled
FBgn0031779,unknown,unlabelled
FBgn0003138,unknown,unlabelled
FBgn0035208,unknown,unlabelled
FBgn0035206,unknown,unlabelled
FBgn0005655,unknown,unlabelled
FBgn0040285,unknown,unlabelled
FBgn0036887,unknown,unlabelled
FBgn0010100,mitochondrion,test
FBgn0032916,unknown,unlabelled
FBgn0015776,PM,train
FBgn0015777,PM,train
FBgn0032906,unknown,unlabelled
FBgn0003887,unknown,unlabelled
FBgn0030672,unknown,unlabelled
FBgn0032518,Ribosome 60S,test
FBgn0000454,unknown,unlabelled
FBgn0032514,unknown,unlabelled
FBgn0004873,unknown,unlabelled
FBgn0032885,unknown,unlabelled
FBgn0003150,Proteasome,train
FBgn0032904,unknown,unlabelled
FBgn0037701,unknown,unlabelled
FBgn0003205,unknown,unlabelled
FBgn0015778,Nucleus,train
FBgn0037719,unknown,unlabelled
FBgn0005585,ER,test
FBgn0028401,unknown,unlabelled
FBgn0032078,unknown,unlabelled
FBgn0031815,unknown,unlabelled
FBgn0026571,ER,train
FBgn0031090,unknown,unlabelled
FBgn0031092,unknown,unlabelled
FBgn0040529,unknown,unlabelled
FBgn0003089,unknown,unlabelled
FBgn0010173,Nucleus,test
FBgn0027528,unknown,unlabelled
FBgn0025582,unknown,unlabelled
FBgn0004556,unknown,unlabelled
FBgn0004108,PM,train
FBgn0036661,unknown,unlabelled
FBgn0030768,unknown,unlabelled
FBgn0016797,PM,test
FBgn0000171,unknown,unlabelled
FBgn0040075,unknown,unlabelled
FBgn0027570,unknown,unlabelled
FBgn0011455,unknown,unlabelled
FBgn0038149,unknown,unlabelled
FBgn0037249,unknown,unlabelled
FBgn0010470,unknown,unlabelled
FBgn0003062,Nucleus,train
FBgn0030734,unknown,unlabelled
FBgn0004432,unknown,unlabelled
FBgn0004925,unknown,unlabelled
FBgn0035726,unknown,unlabelled
FBgn0001215,unknown,unlabelled
